op	cliente	ubicacion	color	disposicion	tamano	pagina	total	estado	vendedor	fecha_publicacion	
158239	CLARO CHILE S.A.	Impar	Cuatricromia	Generales	35x6	05	742.874	Publicado	Kathine Soto-Stgo	2018-6-16 00:00:00	
158227	INMOBIL. LA SERENA GOLF S.A.	Impar	Blanco y negro	Generales	5x2	07	40.429	Publicado	Patricia Villena	2018-6-16 00:00:00	
158255	EMPRESA EL MERCURIO DE VALPARAISO S	Par	Cuatricromia	Medios Regionales	16x3	07	224.760	Publicado	Medios Regionales	2018-6-16 00:00:00	
158063	VIVOCORP S.A.	Impar	Cuatricromia	Generales	17x6	09	631.443	Publicado	Patricia Villena	2018-6-16 00:00:00	
158263	DIARIO EL DIA	Par	Cuatricromia	Generales	5x1	10	0	Arte	Marcela Tello-ElDia	2018-6-16 00:00:00	
157387	DIARIO EL DIA	Par	Cuatricromia	Generales	6x3	10	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
158234	PADRES FRANCISCANOS DEL NORTE	Par	Blanco y negro	Generales	5x2	10	42.113	Publicado	Rene Pizarro	2018-6-16 00:00:00	
158178	DIARIO EL DIA	Par	Blanco y negro	Generales	5x2	11	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
157114	INVERSIONES ANDES S.A.C.	Par	Blanco y negro	Generales	5x2	11	0	Publicado	Miguel Apey	2018-6-16 00:00:00	
156733	C.M. SOC. GASTRONOMICA LTDA.			UIP	5x2	11	7.208	Publicado		2018-6-16 00:00:00	
157617	DIARIO EL DIA	Par	Cuatricromia	Generales	17x6	12	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
158204	EMPRESA EL MERCURIO DE VALPARAISO S	Par	Cuatricromia	Medios Regionales	32x6	13	582.024	Publicado	Medios Regionales	2018-6-16 00:00:00	
157214	SOC. HOTELERA VICHUQUEN LTDA.	Par	Blanco y negro	Generales	6x6	14	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
158171	ARENA CHILE S.A.	Impar	Cuatricromia	Generales	17x6	15	360.825	Publicado	Kathine Soto-Stgo	2018-6-16 00:00:00	
156689	INMOBILIARIA ELQUI S.A.	Impar	Cuatricromia	Generales	17x3	17	0	Publicado	M Cristina Puga	2018-6-16 00:00:00	
157053	FACTOR ONE S.A.	Par	Cuatricromia	Generales	3x2	17	8.306	Publicado	Miguel Apey	2018-6-16 00:00:00	
157397	DIARIO EL DIA	Par	Cuatricromia	Generales	6x3	17	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
158097	DIARIO EL DIA	Par	Cuatricromia	Generales	14x6	18	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
158120	HABITA INMOBILIARIA SA	Par	Cuatricromia	Generales	10x3	20	80.000	Publicado	Paola Marquez	2018-6-16 00:00:00	
158122	HABITA INMOBILIARIA SA	Par	Cuatricromia	Generales	10x3	20	80.000	Publicado	Paola Marquez	2018-6-16 00:00:00	
156944	INMOBILIARIA NOVA S.A.	Par	Cuatricromia	Generales	10x6	20	150.000	Publicado	Paola Marquez	2018-6-16 00:00:00	
158246	INMOBILIARIA SERENA S.A.	Par	Cuatricromia	Ed.Especial	10x3	20	79.594	Publicado	Jacqueline Torres	2018-6-16 00:00:00	
156981	INMOBILIARIA CONPACES S.A.	Par	Cuatricromia	Generales	10x3	20	80.000	Publicado	Paola Marquez	2018-6-16 00:00:00	
158247	INMOBILIARIA SERENA S.A.	Par	Cuatricromia	Ed.Especial	10x3	21	79.594	Publicado	Jacqueline Torres	2018-6-16 00:00:00	
158121	HABITA INMOBILIARIA SA	Par	Cuatricromia	Generales	10x3	21	80.000	Publicado	Paola Marquez	2018-6-16 00:00:00	
158245	INMOBILIARIA SERENA S.A.	Par	Cuatricromia	Ed.Especial	10x3	21	79.594	Publicado	Jacqueline Torres	2018-6-16 00:00:00	
158037	INMOBIL. ECOMAC S.A.	Par	Cuatricromia	Generales	10x6	21	150.000	Publicado	Paola Marquez	2018-6-16 00:00:00	
158123	HABITA INMOBILIARIA SA	Par	Cuatricromia	Generales	10x3	21	80.000	Publicado	Paola Marquez	2018-6-16 00:00:00	
157891	INMOBIL. LA SERENA GOLF S.A.	Par	Cuatricromia	Generales	17x6	23	288.660	Publicado	Patricia Villena	2018-6-16 00:00:00	
157830	DIARIO EL DIA	Par	Cuatricromia	Generales	17x6	24	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
157273	SOC. GASTRONOMICA Y DE TURISMO MART	Par	Blanco y negro	Generales	5x2	30	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
158266	DIARIO EL DIA	Par	Blanco y negro	Generales	5x1	30	0	Arte	Marcela Tello-ElDia	2018-6-16 00:00:00	
157092	INVERSIONES ANDES S.A.C.	Par	Blanco y negro	Generales	4x5	30	20.508	Publicado	Miguel Apey	2018-6-16 00:00:00	
157024	SOC. DE GES			UIP	5x1	30	8.937	Publicado	Miguel Apey	2018-6-16 00:00:00	
157292	PILLA LA VACA	Par	Blanco y negro	Generales	5x2	30	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
158155	SOC. DE RENTAS COMERCIALES S.A.	Par	Blanco y negro	Generales	10x2	30	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
154400	CERNA E HIJOS CIA. LTDA.	Par	Blanco y negro	Generales	5x1	30	3.566	Publicado	Nadia Randolph	2018-6-16 00:00:00	
156855	ARMAQ SUBIRI S.A.			UIP	5x1	30	8.937	Publicado	Claudio Romero	2018-6-16 00:00:00	
157555	DIARIO EL DIA	Par	Cuatricromia	Generales	17x3	33	0	Publicado	Marcela Tello-ElDia	2018-6-16 00:00:00	
157345	CAMPOS DEL NORTE S.A.	Par	Cuatricromia	Generales	17x3	33	0	Publicado	Patricia Villena	2018-6-16 00:00:00	
158267	DIARIO EL DIA	Par	Cuatricromia	Generales	34x6	34	0	Arte	Carolina Naranjo	2018-6-16 00:00:00	
158238	FUNDACION MARIA EDUCA	Par	Blanco y negro	Generales	5x2	36	28.637	Publicado	Jacqueline Torres	2018-6-16 00:00:00	
158268	DIARIO EL DIA	Par	Cuatricromia	Generales	2x6	36	0	Arte	Marcela Tello-ElDia	2018-6-16 00:00:00	
158092	DIARIO EL DIA	Par	Blanco y negro	Generales	12x2	36	0	Publicado	Pedro Jaime	2018-6-16 00:00:00	
156914	JUAN SEBASTIAN BOU LAGUNAS	Par	Blanco y negro	Generales	5x2	39	13.750	Publicado	Heinger Vega Torres	2018-6-16 00:00:00	
156906	MARCELO SOLIS LOBOS	Par	Blanco y negro	Generales	5x3	39	25.210	Publicado	Heinger Vega Torres	2018-6-16 00:00:00	
156554	ANDREA YAZIGI SFEIR	Par	Blanco y negro	Generales	5x2	39	8.403	Publicado	Heinger Vega Torres	2018-6-16 00:00:00	
156902	GUSTAVO TORRES MENDOZA	Par	Blanco y negro	Generales	5x2	39	10.084	Publicado	Heinger Vega Torres	2018-6-16 00:00:00	
157537	AREYUNA AREYUNA NIBALDO	Par	Cuatricromia	Generales	6x3	EC-25	84.034	Publicado	Pedro Jaime	2018-6-16 00:00:00	
158231	CIA. DE LEASING TATTERSALL S.A.	Par	Blanco y negro	Generales	11x2	EC-26	69.487	Publicado	Pedro Jaime	2018-6-16 00:00:00	
158229	EMPRESA EL MERCURIO DE VALPARAISO S	Par	Blanco y negro	Medios Regionales	10x2	EC-26	49.620	Publicado	Medios Regionales	2018-6-16 00:00:00	
158265	DIARIO EL DIA	Par	Cuatricromia	Generales	12x6	EC-27	0	Arte	Marcela Tello-ElDia	2018-6-16 00:00:00	
152098	HOTELERIA LUIS ALBERTO BERETTA KIEK	Par	Blanco y negro	Generales	5x2	EC-27	6.061	Publicado	Patricia Villena	2018-6-16 00:00:00	
157673	INVERSIONES DE TURISMO LOS LAGOS S.	Par	Blanco y negro	Generales	5x2	EC-27 	7.003	Publicado	Rene Pizarro	2018-6-16 00:00:00	
158260	COMERCIAL E.C.C.S.A.  S.A.		9 a 24 pag.	Inserto	x	INS	459.000	Publicado	M Cristina Puga	2018-6-16 00:00:00	
