op	cliente	ubicacion	color	disposicion	tamano	pagina	total	estado	vendedor	llamado	fecha_publicacion	
125059	DABED Y CIA. LTDA., SELIM	Par	Cuatricromia	Generales	6x6	01	23.077	Publicado	Karina Rivera	5A	2017-3-19 00:00:00	
124449	ARENA CHILE S.A.	Impar	Cuatricromia	Generales	17x6	03	230.000	Publicado	M Cristina Puga	VOLSWAGEN 	2017-3-19 00:00:00	
125553	CAMAL MUSALEM TAPIA Y CIA.	Par	Blanco y negro	Generales	29x4	05	141.984	Publicado	Marcela Tello-ElDia	Toyota Sale - Rep. 12/3	2017-3-19 00:00:00	
125544	EMPRESA PERIODISTICA EL NORTE S.A.	Par	Blanco y negro	Medios Regionales	10x2	05	28.900	Arte	Medios Regionales	Parques de Chile S.A. - (45348)	2017-3-19 00:00:00	
103070	SOCIEDAD MEDICA Y CONSULTORA ESTETI		Cuatricromia	Guia	5x2	06	13.333	Publicado	Maria_Amelia Hermosilla	Diego Polanco	2017-3-19 00:00:00	
124593	EMPRESA PERIODISTICA EL NORTE S.A.	Par	Blanco y negro	Medios Regionales	10x2	07	28.900	Publicado	Medios Regionales	BBVA - Rol 674-2016 - (36602)	2017-3-19 00:00:00	
125288	HERMANAS CALLEGARI LTDA.	Par	Cuatricromia	Generales	17x6	08	174.777	Publicado	Marcela Tello-ElDia	Chery Tiggo	2017-3-19 00:00:00	
125556	MIGUEL GONZALEZ LOPEZ	Par	Blanco y negro	Generales	5x2	09	21.422	Publicado	Leonel Pizarro-Ovalle	compro propiedad	2017-3-19 00:00:00	
124213	OVALLE CASINO RESORT S.A	Par	Cuatricromia	Generales	25x4	09	171.372	Publicado	Paola Marquez	OCR Eventos verano	2017-3-19 00:00:00	
125286	CALLEGARI LTDA.	Par	Cuatricromia	Generales	18x6	11	185.058	Publicado	Marcela Tello-ElDia	Mitsubishi Montero	2017-3-19 00:00:00	
124694	SOC. HOTELERA VICHUQUEN LTDA.	Par	Blanco y negro	Generales	6x6	13	0	Publicado	Marcela Tello-ElDia	Almuerzos ejecutivos - Canje	2017-3-19 00:00:00	
125497	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	12x6	14	0	Arte	Marcela Tello-ElDia		2017-3-19 00:00:00	
