op	cliente	ubicacion	color	disposicion	tamano	pagina	total	estado	vendedor	llamado	fecha_publicacion	
151100	OVALLE CASINO RESORT S.A	Par	Cuatricromia	Generales	25x4	03	131.824	Publicado	Paola Marquez	OCR Panoramas marzo	2018-3-9 00:00:00	
151718	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	12x6	04	0	Arte	Marcela Tello-ElDia	Vive la experiencia de estar bien...	2018-3-9 00:00:00	
151719	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	4x6	05	0	Publicado	Marcela Tello-ElDia	Cupones de Descuentos - Cinemark	2018-3-9 00:00:00	
151568	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	17x3	06	0	Publicado	Marcela Tello-ElDia	Cartelera de Cinemark - Diario El Ovallino	2018-3-9 00:00:00	
151471	SOC. HOTELERA VICHUQUEN LTDA.	Par	Blanco y negro	Generales	6x6	08	0	Publicado	Marcela Tello-ElDia	Almuerzos ejecutivos - Canje	2018-3-9 00:00:00	
150943	SOCIEDAD ERLER M. HERMANOS Y COMPA?	Par	Cuatricromia	Generales	6x6	09	16.065	Publicado	Claudio Romero	Muebles Alpina	2018-3-9 00:00:00	
151339	DABED Y CIA. LTDA., SELIM	Par	Cuatricromia	Generales	6x6	11	23.076	Publicado	Karina Rivera	BECAS	2018-3-9 00:00:00	
151717	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	17x6	12	0	Publicado	Marcela Tello-ElDia	En la comodidad de su hogar...	2018-3-9 00:00:00	
150543	VELIZ CORTES JOSE A.			UIP	5x2	15	4.695	Publicado	Pedro Cortes		2018-3-9 00:00:00	
151720	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	6x6	15	0	Publicado	Marcela Tello-ElDia		2018-3-9 00:00:00	
