op	cliente	ubicacion	color	disposicion	tamano	pagina	total	estado	vendedor	llamado	fecha_publicacion	
106893	OVALLE CASINO RESORT S.A	Par	Cuatricromia	Generales	6x6	01	21.333	Publicado	Paola Marquez	Auspicio Casino Ovalle Impar	2016-8-12 00:00:00	
109288	EMPRESA PERIODISTICA EL NORTE S.A.	Par	Cuatricromia	Medios Regionales	32x6	03	150.000	Publicado	Medios Regionales	Impar - Cencosud Retail S.A.- Digital Johnson - (152077)	2016-8-12 00:00:00	
107337	AGRICOLA NORTE TALINAY LTDA	Par	Blanco y negro	Generales	5x2	05	1.666	Publicado	Paola Marquez	UIP VENTA ALFALFA	2016-8-12 00:00:00	
107668	SOC HOTELERA Y DE TURISMO HACIENDA 	Par	Cuatricromia	Generales	5x6	06	11.770	Publicado	Patricia Villena	Hacienda Juntas	2016-8-12 00:00:00	
109261	SOC. LIMARI COMERCIALIZADORA DEL AG	Par	Blanco y negro	Generales	15x2	07	70.620	Publicado	Rene Pizarro		2016-8-12 00:00:00	
108760	XIMENA MIRANDA			UIP	17x2	07	9.211	Publicado	Leonel Pizarro-Ovalle	THETAHALDING	2016-8-12 00:00:00	
108622	caldera so			UIP	5x2	07	2.808	Publicado	Leonel Pizarro-Ovalle	taror	2016-8-12 00:00:00	
108251	SOC. HOTELERA VICHUQUEN LTDA.	Par	Blanco y negro	Generales	6x6	10	0	Publicado	Marcela Tello-ElDia	Almuerzos ejecutivos - Canje	2016-8-12 00:00:00	
108789	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	17x3	11	0	Publicado	Marcela Tello-ElDia	Avisos Cinemark	2016-8-12 00:00:00	
109345	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	17x3	11	0	Arte	Marcela Tello-ElDia	Vea en Cinemark Neruda	2016-8-12 00:00:00	
107827	SOCIEDAD ERLER M. HERMANOS Y COMPA?	Par	Cuatricromia	Generales	6x6	14	16.065	Publicado	Claudio Romero	Muebles Alpina	2016-8-12 00:00:00	
109360	EMPRESAS LA POLAR S.A.	Impar	Cuatricromia	Generales	35x6	16	0	Publicado	Patricia Villena	Polerones y Zapatillas	2016-8-12 00:00:00	
