op	cliente	ubicacion	color	disposicion	tamano	pagina	total	estado	vendedor	llamado	fecha_publicacion	
164493	CAMPOS DEL NORTE S.A.	Par	Cuatricromia	Generales	5x6	01	23.333	Publicado	Patricia Villena	Franja Enjoy Portada EL Ovallino	2018-10-18 00:00:00	
168002	Farmacias del Dr Simi	Impar	Cuatricromia	Generales	17x6	03	252.101	Publicado	Patricia Villena	Dr. Simi	2018-10-18 00:00:00	
167330	SOC. SERVICIOS TECNOLOGICOS Y TELCO			UIP	10x6	05	16.260	Publicado	Claudio Romero	TELCONOR..AHORA EN OVALLE 	2018-10-18 00:00:00	
167570	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	17x6	06	0	Publicado	Marcela Tello-ElDia		2018-10-18 00:00:00	
164697	SOC. HOTELERA VICHUQUEN LTDA.	Par	Blanco y negro	Generales	6x6	08	0	Publicado	Marcela Tello-ElDia	Almuerzos ejecutivos - Canje	2018-10-18 00:00:00	
168025	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	34x6	09	0	Arte	Marcela Tello-ElDia		2018-10-18 00:00:00	
167955	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	17x3	11	0	Publicado	Marcela Tello-ElDia	Deportes Provincial Ovalle Vs. Linares	2018-10-18 00:00:00	
167839	DEL RIO VARELA JORGE	Par	Blanco y negro	Generales	12x3	12	66.903	Publicado	Pedro Jaime		2018-10-18 00:00:00	
168026	PRENSA DEL LIMARI LTDA.	Par	Blanco y negro	Generales	10x3	12	0	Arte	Marcela Tello-ElDia	Reportero Ciudadano	2018-10-18 00:00:00	
168027	PRENSA DEL LIMARI LTDA.	Par	Cuatricromia	Generales	7x6	14	0	Arte	Marcela Tello-ElDia		2018-10-18 00:00:00	
